code,name,流通市值,市盈率,昨收,昨高,昨低,涨停次数,连板次数,industry,industry_sub,可能退市,营业收入,净利润,融资融券,zhuan,债券代码
000504,南华生物,2662430768.0,-168.49,8.0,8.14,7.8,19.0,3.0,医疗服务,医疗服务,1,1.3679092497,-29761420.25,0.0,,
002044,美年健康,16380458086.0,-38.37,3.95,3.98,3.86,4.0,0.0,医疗服务,医疗服务,0,108.9353500749,668823476.43,0.0,,
603127,昭衍新药,11657614547.0,-40.82,16.32,16.55,16.09,11.0,2.0,医疗服务,医疗服务,0,23.764867971,1073200095.01,1.0,,
002173,创新医疗,3022040622.0,-100.07,7.54,7.77,7.07,14.0,4.0,医疗服务,医疗服务,1,8.0558552656,-34288293.7,0.0,,
603882,金域医学,17089266076.0,95.95,35.91,36.58,35.27,6.0,0.0,医疗服务,医疗服务,0,85.3962790145,2842983879.39,1.0,,
000710,贝瑞基因,2743389072.0,164.49,8.47,8.89,8.0,16.0,6.0,医疗服务,医疗服务,1,11.5141678541,-252249851.6,0.0,,
002172,澳洋健康,2181025143.0,29.23,2.74,2.75,2.68,7.0,0.0,医疗服务,医疗服务,0,21.7376756603,50263386.4,0.0,,
002821,凯莱英,27442528924.0,30.76,73.59,74.69,73.03,3.0,2.0,医疗服务,医疗服务,0,78.2519029827,3294630547.8,0.0,,
600763,通策医疗,25204741743.0,40.68,49.98,50.51,48.63,5.0,0.0,医疗服务,医疗服务,0,28.4650773421,615678057.38,1.0,,
600721,百花医药,2739330022.0,60.44,6.9,7.04,6.68,16.0,5.0,医疗服务,医疗服务,0,3.692773919,12972337.95,0.0,,
002524,光正眼科,1997616736.0,799.71,3.73,3.77,3.64,4.0,0.0,医疗服务,医疗服务,0,10.7490356182,9746208.82,0.0,,
603613,国联股份,18128731375.0,12.71,24.77,25.24,24.03,9.0,2.0,互联网电商,互联网电商Ⅲ,0,506.8463942922,1703107966.69,1.0,,
002640,跨境通,3895431439.0,-186.81,3.13,3.37,2.85,27.0,9.0,互联网电商,互联网电商Ⅲ,0,66.1641185021,14073801.8,0.0,,
003010,若羽臣,1753022936.0,30.16,14.13,14.34,13.9,17.0,2.0,互联网电商,互联网电商Ⅲ,0,13.6609053421,54290476.45,0.0,,
002315,焦点科技,5955978829.0,20.0,28.44,29.02,27.9,24.0,7.0,互联网电商,互联网电商Ⅲ,0,15.2657060798,382466597.56,0.0,,
601113,华鼎股份,3676826913.0,11.29,3.28,3.3,3.25,4.0,1.0,互联网电商,互联网电商Ⅲ,0,87.1827583156,362658030.56,0.0,,
605136,丽人丽妆,2803209500.0,520.25,7.03,7.17,6.98,9.0,0.0,互联网电商,互联网电商Ⅲ,0,27.6239231195,27237472.69,0.0,,
002127,南极电商,6363106388.0,50.26,3.05,3.09,2.99,3.0,0.0,互联网电商,互联网电商Ⅲ,0,26.9222456441,108186811.54,0.0,,
600539,狮头股份,1021200000.0,-87.11,4.61,4.63,4.5,4.0,0.0,互联网电商,互联网电商Ⅲ,0,4.5815875556,43583618.4,0.0,,
002803,吉宏股份,3621989569.0,33.59,11.99,12.24,11.88,12.0,2.0,互联网电商,互联网电商Ⅲ,0,66.9468065234,332121542.56,0.0,,
